customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,account_creation_date,last_purchase_date,loyalty_points
CUST0001,Susan,Wade,frankanderson@hotmail.com,(316)485-1318,"0393 Wyatt Creek, Davismouth, IL 79112",Obrienchester,Louisiana,77766,2022-06-21,2024-05-27,1260
CUST0002,Thomas,Rowe,alexandra10@farley.info,(859)537-8375,"48667 Alvarez Branch, Harrisonchester, FL 92765",Port Joshuahaven,Nebraska,12373,2022-12-20,2023-12-26,9870
CUST0003,Larry,Anderson,qkeller@stokes.biz,8225910339,"15745 Willis Station, Edwardsfurt, DE 89121",South Laurenshire,Colorado,28311,2024-10-17,2024-03-06,3794
CUST0004,Joshua,Hansen,jason40@gmail.com,+1-625-547-1592x749,"97365 Flores Underpass Suite 785, Lake Johnny, MI 73025",Turnerborough,Michigan,57204,2021-01-13,2024-09-28,7817
CUST0005,Christopher,Moore,murphyjoseph@hotmail.com,(401)350-9285x520,"27420 Lisa Course, New Nicole, WY 64112",East Nathanton,Georgia,21335,2021-04-24,2024-08-19,1058
CUST0006,Amber,Thompson,lambbrent@wilson.com,001-459-884-9560,"2208 Donna Point, Port Julie, GA 87394",New Jenny,Maine,41460,2023-11-10,2024-01-30,5851
CUST0007,James,Neal,erikbrown@buchanan.com,1082075688,"987 Rebecca Rue Suite 032, North Samuel, DC 13680",New Timothy,Wisconsin,67966,2023-02-24,2024-03-28,500
CUST0008,Crystal,Gay,michaelhensley@gmail.com,806-178-4606x9117,"0974 Smith Ways, Bowmanville, IA 15699",Kathyland,Alaska,13781,2023-05-25,2024-06-14,7026
CUST0009,Stephanie,Payne,kellygilbert@lee.com,001-405-503-3487x41254,"706 Suzanne Islands, Dayberg, WI 08157",West Mary,Alabama,29619,2020-09-30,2024-09-09,2531
CUST0010,Michelle,Williams,ugill@yahoo.com,684.756.4247x21654,"272 Walker Stravenue Suite 725, Elizabethtown, ID 73082",Jamesland,Minnesota,25293,2021-11-02,2024-03-22,7905
CUST0011,Bruce,Houston,jonestyrone@yahoo.com,321.991.5253x93073,"9680 Jaclyn Unions Apt. 299, New James, ME 07581",South Melissa,Tennessee,54778,2020-07-14,2024-03-12,6451
CUST0012,Amy,Carter,rochamichelle@yahoo.com,350.355.7686,"8716 Fernando Well Apt. 539, Lake Daniel, NV 20220",North Amber,Illinois,35528,2023-06-22,2024-02-24,6136
CUST0013,Mark,Patterson,perezjoyce@brown.com,087.119.7702x624,"88414 Henry Estate Apt. 740, New Brenda, OK 63289",Lewismouth,Oklahoma,20930,2023-02-10,2024-07-06,9740
CUST0014,Jeremy,Smith,thomasandrea@yahoo.com,3897561127,"5101 Lindsay Drive Suite 578, North Sherry, WY 99498",West Scottmouth,Washington,84377,2023-08-05,2024-10-26,673
CUST0015,Jessica,Roth,jamie68@yahoo.com,454.134.4331x988,"6908 Edward Lodge Apt. 921, Corystad, FL 31207",West Stephanieberg,North Carolina,31262,2024-02-13,2024-06-28,7526
CUST0016,Lisa,Cooley,cruzmathew@yahoo.com,(725)606-4500x82155,"4710 Bowen Shore, North Juan, NJ 46187",Phillipfort,Utah,28951,2023-09-19,2024-04-05,4865
CUST0017,Julie,Huynh,crystalmason@gmail.com,745.704.6632,"PSC 6294, Box 3122, APO AA 87093",West Hollychester,Florida,74492,2020-09-03,2024-07-07,1752
CUST0018,Michelle,Figueroa,dixonmarcus@lambert-webb.com,001-637-412-5816x475,"USCGC Newton, FPO AP 30142",Lake Heiditon,Alabama,39508,2023-03-30,2024-06-16,3755
CUST0019,Kelly,Gray,barbara77@gmail.com,001-199-137-9152x5940,"8268 Daniel Roads, Alexmouth, WV 04419",South Jeffreyhaven,Iowa,96518,2023-11-18,2024-06-26,8372
CUST0020,Terri,Griffith,martin17@gmail.com,+1-547-759-5465x624,"94854 Lauren Oval Suite 190, East Angelaberg, MT 58331",Shawbury,West Virginia,80772,2022-09-29,2023-12-03,654
CUST0021,Michelle,Valentine,jose95@munoz.biz,+1-541-073-7552x6397,"7480 Walton Prairie Suite 119, North David, IL 93476",Kelleystad,Arkansas,64282,2022-12-21,2024-05-04,8481
CUST0022,Carl,Jackson,ihendrix@yahoo.com,5466097394,"4873 Nichole Mews, Walkerside, SC 35407",West Michael,Massachusetts,58678,2020-10-23,2023-11-24,1597
CUST0023,Diamond,Spence,gdavis@ellis.com,500.129.6633x3551,"99152 Michael Junctions Apt. 304, South Jerrychester, IN 76001",Davisborough,New Jersey,19830,2019-11-19,2024-11-04,7094
CUST0024,Tyler,Zimmerman,sharon16@peters.com,+1-822-915-2539x2191,"7533 David Ramp, Mosleyhaven, NV 01494",Nathanmouth,Connecticut,45175,2022-09-03,2023-12-19,7005
CUST0025,James,Moon,smithmary@sawyer.com,+1-185-096-6155,"252 Kimberly Extensions, East Sean, IL 63699",Stacybury,Vermont,66583,2022-02-07,2024-01-28,5171
CUST0026,Travis,Hanson,vbrown@webster.com,687-986-3907x80780,"8658 Williams Crescent Suite 913, Port Jasonstad, LA 49267",Andersonland,Texas,48806,2019-12-31,2023-12-09,9759
CUST0027,Donna,Campbell,christina57@rodriguez.org,001-177-810-0346x028,"776 Jesse Cliff, Robertsonstad, FL 73735",West Heidi,Pennsylvania,94090,2023-01-28,2024-05-19,2200
CUST0028,Richard,Cooper,qgarcia@johns.info,839-583-5775x60317,"306 Hancock Crossing Suite 298, Hayesberg, IN 46430",South Meganchester,New Mexico,85458,2024-07-01,2024-02-03,5831
CUST0029,Barry,Morgan,makaylathomas@fox.com,+1-270-112-1950,"158 Reed Stravenue Apt. 082, Wolfeborough, CA 94818",New Margaret,Delaware,57632,2024-08-06,2023-12-27,7110
CUST0030,Stephen,Brown,abond@yahoo.com,(297)395-2042x977,"478 Henson Pines Suite 282, Elizabethview, IL 83705",Lake Julie,New Hampshire,35531,2021-04-28,2024-06-24,3257
CUST0031,Michael,Lyons,marystewart@braun.com,613.930.2377,"USNV Barrera, FPO AE 58950",Moorechester,Virginia,07462,2021-03-05,2024-09-15,6312
CUST0032,Ruth,Howard,jonesdiana@simpson.com,+1-692-737-0085,"9227 Wright Harbors Suite 118, West Jaclynside, KY 40715",Stephenbury,Louisiana,46345,2024-01-05,2024-09-15,9001
CUST0033,Rebecca,Young,christianvasquez@hotmail.com,428-029-4744,"71502 Kaitlyn Centers Suite 406, Jamesshire, AR 21454",Feliciabury,New Jersey,36906,2022-12-27,2024-10-28,187
CUST0034,Janet,Ibarra,jennifer16@may.com,902-630-9870x7030,"64089 Mclean Tunnel, New Trevor, OR 25185",Woodschester,Arkansas,40153,2023-12-04,2024-07-13,9184
CUST0035,Denise,Martin,jbarber@gmail.com,887.299.6059,"99699 Brown Vista Suite 664, Katherineside, MI 49493",Lake Mariofort,Wyoming,65669,2022-10-04,2024-02-07,5629
CUST0036,Reginald,Ford,dawn49@hotmail.com,+1-473-545-6566x65375,"7804 Diane Rest, East Steven, NY 31788",Port Kevin,Georgia,76312,2023-04-03,2023-12-16,5019
